iter	Passed	Remaining
0	150	150604
1	159	79395
2	162	54059
3	166	41378
4	173	34550
5	176	29186
6	178	25349
7	181	22451
8	183	20246
9	187	18550
10	189	17060
11	191	15803
12	194	14749
13	196	13873
14	200	13186
15	203	12511
16	205	11868
17	207	11332
18	209	10840
19	213	10450
20	215	10056
21	217	9681
22	219	9337
23	221	9022
24	223	8724
25	225	8436
26	227	8211
27	229	7972
28	231	7741
29	232	7528
30	234	7327
31	235	7131
32	236	6943
33	238	6769
34	239	6601
35	240	6447
36	242	6301
37	243	6164
38	244	6027
39	245	5901
40	247	5779
41	248	5660
42	249	5543
43	250	5433
44	251	5329
45	252	5228
46	253	5132
47	254	5045
48	256	4981
49	257	4899
50	259	4821
51	260	4743
52	261	4669
53	262	4598
54	263	4529
55	264	4462
56	265	4396
57	266	4331
58	267	4269
59	268	4208
60	270	4159
61	271	4111
62	273	4060
63	273	4006
64	275	3957
65	276	3909
66	277	3861
67	278	3816
68	279	3773
69	280	3729
70	281	3686
71	282	3643
72	283	3602
73	285	3574
74	287	3542
75	288	3507
76	289	3469
77	290	3433
78	291	3397
79	292	3363
80	293	3330
81	294	3298
82	295	3263
83	296	3232
84	297	3202
85	298	3175
86	300	3154
87	302	3130
88	303	3105
89	304	3078
90	305	3053
91	306	3026
92	307	3001
93	308	2975
94	309	2950
95	310	2927
96	312	2905
97	313	2881
98	314	2865
99	316	2849
100	317	2828
101	319	2809
102	320	2787
103	321	2766
104	322	2746
105	323	2726
106	324	2708
107	325	2689
108	326	2671
109	328	2656
110	329	2642
111	331	2629
112	332	2611
113	333	2593
114	334	2576
115	335	2559
116	336	2541
117	337	2525
118	339	2509
119	340	2493
120	341	2480
121	342	2466
122	343	2452
123	345	2442
124	347	2430
125	348	2415
126	349	2399
127	350	2385
128	351	2371
129	352	2358
130	353	2344
131	354	2330
132	355	2317
133	356	2306
134	358	2294
135	359	2286
136	361	2276
137	362	2265
138	363	2254
139	365	2243
140	366	2231
141	367	2218
142	368	2207
143	369	2197
144	370	2187
145	372	2177
146	373	2167
147	374	2158
148	376	2149
149	377	2139
150	378	2129
151	379	2119
152	381	2109
153	382	2099
154	383	2090
155	384	2082
156	386	2073
157	387	2064
158	388	2056
159	390	2051
160	391	2040
161	392	2031
162	393	2022
163	394	2012
164	395	2002
165	396	1993
166	397	1985
167	399	1977
168	400	1970
169	401	1962
170	403	1954
171	404	1948
172	406	1941
173	407	1934
174	408	1926
175	409	1918
176	410	1910
177	412	1903
178	413	1897
179	415	1891
180	416	1884
181	417	1876
182	418	1869
183	420	1865
184	421	1858
185	423	1851
186	424	1844
187	425	1837
188	426	1830
189	427	1824
190	429	1817
191	430	1810
192	431	1802
193	432	1795
194	433	1788
195	434	1782
196	435	1777
197	437	1771
198	438	1764
199	439	1758
200	440	1752
201	441	1745
202	442	1739
203	444	1732
204	445	1727
205	446	1720
206	447	1714
207	448	1708
208	450	1703
209	451	1698
210	452	1692
211	453	1687
212	455	1681
213	456	1676
214	457	1670
215	458	1664
216	459	1659
217	460	1653
218	462	1647
219	463	1642
220	464	1636
221	466	1633
222	467	1628
223	468	1623
224	469	1618
225	470	1612
226	472	1607
227	473	1602
228	474	1597
229	475	1592
230	476	1586
231	477	1582
232	479	1577
233	480	1574
234	482	1569
235	483	1564
236	484	1559
237	485	1554
238	486	1549
239	487	1544
240	488	1539
241	489	1534
242	490	1529
243	491	1523
244	492	1518
245	494	1514
246	495	1510
247	497	1508
248	498	1504
249	500	1501
250	501	1496
251	502	1492
252	503	1487
253	504	1483
254	506	1478
255	507	1474
256	508	1469
257	509	1465
258	511	1462
259	512	1458
260	513	1454
261	514	1450
262	516	1446
263	517	1442
264	518	1438
265	519	1434
266	520	1430
267	521	1425
268	523	1421
269	524	1418
270	526	1415
271	527	1411
272	528	1407
273	529	1402
274	530	1399
275	531	1394
276	532	1390
277	533	1386
278	535	1382
279	536	1378
280	537	1374
281	538	1370
282	539	1366
283	540	1363
284	542	1359
285	543	1355
286	544	1352
287	545	1348
288	546	1344
289	547	1340
290	548	1336
291	549	1332
292	550	1328
293	551	1324
294	552	1320
295	553	1317
296	555	1315
297	557	1312
298	558	1309
299	559	1305
300	560	1301
301	561	1298
302	562	1294
303	563	1290
304	564	1286
305	565	1283
306	566	1279
307	567	1276
308	568	1272
309	570	1270
310	572	1268
311	573	1264
312	574	1261
313	575	1258
314	577	1255
315	578	1251
316	579	1248
317	580	1244
318	581	1241
319	582	1237
320	583	1234
321	584	1231
322	586	1228
323	587	1225
324	588	1222
325	589	1219
326	591	1216
327	592	1213
328	593	1210
329	594	1206
330	595	1203
331	596	1200
332	597	1197
333	599	1194
334	601	1193
335	602	1191
336	603	1188
337	605	1185
338	606	1182
339	607	1179
340	608	1176
341	609	1173
342	610	1169
343	612	1167
344	613	1164
345	614	1161
346	615	1159
347	617	1156
348	618	1153
349	619	1150
350	620	1147
351	621	1144
352	622	1141
353	623	1138
354	624	1134
355	625	1131
356	626	1128
357	627	1125
358	628	1122
359	630	1121
360	632	1119
361	633	1116
362	634	1113
363	635	1111
364	637	1108
365	638	1105
366	639	1102
367	640	1099
368	641	1096
369	642	1093
370	643	1091
371	645	1089
372	646	1087
373	647	1084
374	649	1081
375	649	1078
376	650	1075
377	651	1072
378	652	1069
379	654	1067
380	655	1064
381	656	1061
382	657	1058
383	658	1056
384	660	1054
385	662	1053
386	663	1050
387	664	1047
388	665	1045
389	666	1042
390	667	1039
391	668	1036
392	669	1034
393	670	1031
394	671	1028
395	672	1026
396	673	1023
397	675	1021
398	677	1020
399	678	1017
400	679	1015
401	680	1012
402	681	1009
403	682	1007
404	683	1004
405	685	1002
406	686	999
407	687	997
408	688	994
409	690	993
410	691	991
411	693	989
412	694	986
413	695	984
414	696	982
415	697	979
416	698	977
417	699	974
418	701	972
419	702	969
420	703	967
421	704	964
422	706	963
423	707	961
424	708	958
425	709	956
426	710	953
427	711	951
428	712	948
429	713	946
430	714	943
431	715	941
432	716	938
433	717	936
434	719	934
435	721	932
436	722	930
437	723	928
438	724	926
439	726	924
440	727	921
441	728	919
442	729	917
443	730	914
444	731	912
445	732	910
446	733	907
447	735	906
448	736	904
449	738	902
450	739	900
451	740	897
452	741	895
453	742	893
454	744	891
